delay_time:  1, weight:  1, carnum:  1000, Final res:  476, Final time: 15.459191 Seconds(deadlock time:   0)
delay_time:  1, weight:  1, carnum:  2000, Final res:  360, Final time: 23.697392999999998 Seconds(deadlock time:   0)
delay_time:  1, weight:  1, carnum:  3000, Final res:  389, Final time: 44.359837000000006 Seconds(deadlock time:   1)
delay_time:  1, weight:  1, carnum:  4000, Final res:  406, Final time: 94.52914100000001 Seconds(deadlock time: 301)
delay_time:  1, weight:  1, carnum:  5000, Final res:  432, Final time: 220.386349 Seconds(deadlock time: 993)
delay_time:  1, weight:  2, carnum:  1000, Final res:  485, Final time: 16.77230000000003 Seconds(deadlock time:   0)
delay_time:  1, weight:  2, carnum:  2000, Final res:  351, Final time: 24.751168000000007 Seconds(deadlock time:   0)
delay_time:  1, weight:  2, carnum:  3000, Final res:  387, Final time: 43.188311999999996 Seconds(deadlock time:   1)
delay_time:  1, weight:  2, carnum:  4000, Final res:  401, Final time: 77.80888999999996 Seconds(deadlock time:  85)
delay_time:  1, weight:  2, carnum:  5000, Final res:  426, Final time: 204.1634059999999 Seconds(deadlock time: 815)
delay_time:  1, weight:  3, carnum:  1000, Final res:  497, Final time: 16.863773000000037 Seconds(deadlock time:   0)
delay_time:  1, weight:  3, carnum:  2000, Final res:  373, Final time: 24.345916999999986 Seconds(deadlock time:   0)
delay_time:  1, weight:  3, carnum:  3000, Final res:  387, Final time: 43.019052999999985 Seconds(deadlock time:   1)
delay_time:  1, weight:  3, carnum:  4000, Final res:  396, Final time: 75.34669299999996 Seconds(deadlock time:  47)
delay_time:  1, weight:  3, carnum:  5000, Final res:  424, Final time: 163.08634999999992 Seconds(deadlock time: 528)
delay_time:  1, weight:  4, carnum:  1000, Final res:  496, Final time: 16.74917000000005 Seconds(deadlock time:   0)
delay_time:  1, weight:  4, carnum:  2000, Final res:  361, Final time: 24.000194000000192 Seconds(deadlock time:   0)
delay_time:  1, weight:  4, carnum:  3000, Final res:  351, Final time: 41.981030000000146 Seconds(deadlock time:   2)
delay_time:  1, weight:  4, carnum:  4000, Final res:  401, Final time: 71.22616399999993 Seconds(deadlock time:  48)
delay_time:  1, weight:  4, carnum:  5000, Final res:  420, Final time: 218.57023600000002 Seconds(deadlock time: 925)
delay_time:  1, weight:  5, carnum:  1000, Final res:  501, Final time: 17.260647000000063 Seconds(deadlock time:   0)
delay_time:  1, weight:  5, carnum:  2000, Final res:  373, Final time: 24.813985000000002 Seconds(deadlock time:   0)
delay_time:  1, weight:  5, carnum:  3000, Final res:  368, Final time: 43.1529680000001 Seconds(deadlock time:   8)
delay_time:  1, weight:  5, carnum:  4000, Final res:  404, Final time: 75.84860800000001 Seconds(deadlock time:  68)
delay_time:  1, weight:  5, carnum:  5000, Final res:  447, Final time: 172.77186600000005 Seconds(deadlock time: 563)
delay_time:  2, weight:  1, carnum:  1000, Final res:  466, Final time: 15.420542999999952 Seconds(deadlock time:   0)
delay_time:  2, weight:  1, carnum:  2000, Final res:  357, Final time: 22.673753000000033 Seconds(deadlock time:   0)
delay_time:  2, weight:  1, carnum:  3000, Final res:  361, Final time: 37.95467200000007 Seconds(deadlock time:   0)
delay_time:  2, weight:  1, carnum:  4000, Final res:  415, Final time: 78.33701900000005 Seconds(deadlock time: 162)
delay_time:  2, weight:  1, carnum:  5000, Final res:  415, Final time: 200.39413499999978 Seconds(deadlock time: 1028)
delay_time:  2, weight:  2, carnum:  1000, Final res:  474, Final time: 16.08575299999984 Seconds(deadlock time:   0)
delay_time:  2, weight:  2, carnum:  2000, Final res:  358, Final time: 23.014992999999777 Seconds(deadlock time:   0)
delay_time:  2, weight:  2, carnum:  3000, Final res:  381, Final time: 39.76148899999998 Seconds(deadlock time:   6)
